Unnamed: 0,Name,Sys ID,company,company_clean,domain_clean,phone_clean,address_clean,combined_id,merged_ids,record_id,is_merged,merged_from,canonical_company
135,3-dB Networks,C28612,3-dB Networks,3-db networks,,,,3-db networks;;,C28612,C28612,False,[],3-db networks
136,3DG Partners,C47614,3DG Partners,3dg partners,,,,3dg partners;;,C47614,C47614,False,[],3dg partners
137,3F Incs,C21528,3F Incs,3f incs,,,,3f incs;;,C21528,C21528,False,[],3f incs
138,"3Fold IT, LLC",C23375,"3Fold IT, LLC",3fold it,,,,3fold it;;,C23375;C47615,C23375,False,[],3fold it
140,"3GB Technology Solutions, LLC",C35736,"3GB Technology Solutions, LLC",3gb technology solutions,,,,3gb technology solutions;;,C35736;C47616,C35736,False,[],3gb technology solutions
142,3HUE Executive Consulting,C45152,3HUE Executive Consulting,3hue executive consulting,,,,3hue executive consulting;;,C45152,C45152,False,[],3hue executive consulting
143,3i International,C23478,3i International,3i international,,,,3i international;;,C23478,C23478,False,[],3i international
144,3i Technologies Inc.,C23693,3i Technologies Inc.,3i technologies,,,,3i technologies;;,C23693,C23693,False,[],3i technologies
145,3MD INC DBA DENALI ADVANCED INTEGRATION,C26112,3MD INC DBA DENALI ADVANCED INTEGRATION,3md denali advanced integration,,,,3md denali advanced integration;;,C26112,C26112,False,[],3md denali advanced integration
146,3MS LLC,C47617,3MS LLC,3ms,,,,3ms;;,C47617,C47617,False,[],3ms
147,3N1 IT Consultants LLC,C38677,3N1 IT Consultants LLC,3n1 it consultants,,,,3n1 it consultants;;,C38677,C38677,False,[],3n1 it consultants
148,3nets.io,C41646,3nets.io,3nets.io,,,,3nets.io;;,C41646,C41646,False,[],3nets.io
149,3Nines,C46034,3Nines,3nines,,,,3nines;;,C46034,C46034,False,[],3nines
150,3Nines Technologies,C28371,3Nines Technologies,3nines technologies,,,,3nines technologies;;,C28371,C28371,False,[],3nines technologies
151,3nom,C34864,3nom,3nom,,,,3nom;;,C34864,C34864,False,[],3nom
152,3packet.com Inc.,C46795,3packet.com Inc.,3packet.com,,,,3packet.com;;,C46795,C46795,False,[],3packet.com
153,3Points,C28226,3Points,3points,,,,3points;;,C28226,C28226,False,[],3points
154,3rd Element Consulting,C27531,3rd Element Consulting,3rd element consulting,,,,3rd element consulting;;,C27531;C38517,C27531,False,[],3rd element consulting
156,3rd Evolution aka Microman,C33095,3rd Evolution aka Microman,3rd evolution aka microman,,,,3rd evolution aka microman;;,C33095,C33095,False,[],3rd evolution aka microman
157,3rd Rock Technologies Inc.,C47040,3rd Rock Technologies Inc.,3rd rock technologies,,,,3rd rock technologies;;,C47040,C47040,False,[],3rd rock technologies
158,3rdSYNC Networks,C29799,3rdSYNC Networks,3rdsync networks,,,,3rdsync networks;;,C29799,C29799,False,[],3rdsync networks
159,"3SG, LLC",C32248,"3SG, LLC",3sg,,,,3sg;;,C32248,C32248,False,[],3sg
160,"3S-Smart Solutions Star, Inc",C44972,"3S-Smart Solutions Star, Inc",3s-smart solutions star,,,,3s-smart solutions star;;,C44972,C44972,False,[],3s-smart solutions star
161,3Vector Systems Inc,C31279,3Vector Systems Inc,3vector systems,,,,3vector systems;;,C31279,C31279,False,[],3vector systems
162,3Wan Inc.,C22780,3Wan Inc.,3wan,,,,3wan;;,C22780,C22780,False,[],3wan
163,3Z Telecom,C28981,3Z Telecom,3z telecom,,,,3z telecom;;,C28981,C28981,False,[],3z telecom
164,4 Best Business Corp,C35309,4 Best Business Corp,4 best business,,,,4 best business;;,C35309,C35309,False,[],4 best business
165,4 Pair Communications LLC,C42261,4 Pair Communications LLC,4 pair communications,,,,4 pair communications;;,C42261;C47618,C42261,False,[],4 pair communications
167,4 Star Technologies Inc,C39509,4 Star Technologies Inc,4 star technologies,,,,4 star technologies;;,C39509,C39509,False,[],4 star technologies
168,404 Cybersecurity LLC,C27821,404 Cybersecurity LLC,404 cybersecurity,,,,404 cybersecurity;;,C27821,C27821,False,[],404 cybersecurity
169,"405IT, LLC",C23913,"405IT, LLC",405it,,,,405it;;,C23913;C47619,C23913,False,[],405it
171,415 Group,C39510,415 Group,415 group,,,,415 group;;,C39510,C39510,False,[],415 group
172,415 IT,C47301,415 IT,415 it,,,,415 it;;,C47301,C47301,False,[],415 it
173,42 inc.,C25200,42 inc.,42,,,,42;;,C25200,C25200,False,[],42
174,"42 Tech Solutions, Inc.",C42228,"42 Tech Solutions, Inc.",42 tech solutions,,,,42 tech solutions;;,C42228,C42228,False,[],42 tech solutions
