Name,Sys ID,record_id,company,company_clean,domain_clean,phone_clean,address_clean,combined_id,merged_ids,reason
TSR Solutions,C50418,C50418,TSR Solutions,tsr solutions,,,,tsr solutions;;,C22633;C50418,duplicate company or domain
TTB Consulting,C50419,C50419,TTB Consulting,ttb consulting,,,,ttb consulting;;,C41961;C50419,duplicate company or domain
Tucktek Solutions,C50420,C50420,Tucktek Solutions,tucktek solutions,,,,tucktek solutions;;,C41975;C50420,duplicate company or domain
"Tuearis Cyber, LLC",C23556,C23556,"Tuearis Cyber, LLC",tuearis cyber,,,,tuearis cyber;;,C23556;C50421,duplicate company or domain
Turnkey Computer Systems. Inc,C40307,C40307,Turnkey Computer Systems. Inc,turnkey computer systems,,,,turnkey computer systems;;,C38772;C40307,duplicate company or domain
Turnkey Technologies,C38586,C38586,Turnkey Technologies,turnkey technologies,,,,turnkey technologies;;,C34215;C38586,duplicate company or domain
Turtle & Hughes,C50424,C50424,Turtle & Hughes,turtle and hughes,,,,turtle and hughes;;,C28290;C50424,duplicate company or domain
"TVAR Solutions,LLC",C50425,C50425,"TVAR Solutions,LLC",tvar solutions,,,,tvar solutions;;,C23058;C50425,duplicate company or domain
"Twiford Telephone, Inc",C50427,C50427,"Twiford Telephone, Inc",twiford telephone,,,,twiford telephone;;,C23849;C50427,duplicate company or domain
Twin Harbors Technology Solutions,C39043,C39043,Twin Harbors Technology Solutions,twin harbors technology solutions,,,,twin harbors technology solutions;;,C38248;C39043,duplicate company or domain
Twinstate Technologies,C50430,C50430,Twinstate Technologies,twinstate technologies,,,,twinstate technologies;;,C27122;C50430,duplicate company or domain
UDrive Technology,C50435,C50435,UDrive Technology,udrive technology,,,,udrive technology;;,C23348;C50435,duplicate company or domain
UGN,C50437,C50437,UGN,ugn,,,,ugn;;,C35868;C50437,duplicate company or domain
Uinta Technologies,C50438,C50438,Uinta Technologies,uinta technologies,,,,uinta technologies;;,C29477;C50438,duplicate company or domain
Ultimate IT Guy LLC,C50439,C50439,Ultimate IT Guy LLC,ultimate it guy,,,,ultimate it guy;;,C30980;C50439,duplicate company or domain
"UltraLevel, Inc.",C50440,C50440,"UltraLevel, Inc.",ultralevel,,,,ultralevel;;,C32889;C50440,duplicate company or domain
UnaDial LLC,C50441,C50441,UnaDial LLC,unadial,,,,unadial;;,C42321;C50441,duplicate company or domain
"Uncommon Solutions, Inc.",C22646,C22646,"Uncommon Solutions, Inc.",uncommon solutions,,,,uncommon solutions;;,C22646;C50442,duplicate company or domain
Unified Connexions Inc.,C23747,C23747,Unified Connexions Inc.,unified connexions,,,,unified connexions;;,C23747;C50445,duplicate company or domain
Unified Technologies,C43418,C43418,Unified Technologies,unified technologies,,,,unified technologies;;,C22648;C35704;C43418,duplicate company or domain
"Unified Technologies, LLC",C35704,C35704,"Unified Technologies, LLC",unified technologies,,,,unified technologies;;,C22648;C35704;C43418,duplicate company or domain
"UNIQUE Computer, Inc",C31829,C31829,"UNIQUE Computer, Inc",unique computer,,,,unique computer;;,C26240;C31829,duplicate company or domain
Unique Computing Solutions Inc,C40312,C40312,Unique Computing Solutions Inc,unique computing solutions,,,,unique computing solutions;;,C38288;C40312,duplicate company or domain
"Unistar-Sparco Computers, Inc.",C32241,C32241,"Unistar-Sparco Computers, Inc.",unistar-sparco computers,,,,unistar-sparco computers;;,C26544;C32241;C50449,duplicate company or domain
"Unistar-Sparco Computers, Inc.",C50449,C50449,"Unistar-Sparco Computers, Inc.",unistar-sparco computers,,,,unistar-sparco computers;;,C26544;C32241;C50449,duplicate company or domain
United Business Technologies,C50450,C50450,United Business Technologies,united business technologies,,,,united business technologies;;,C38640;C50450,duplicate company or domain
United Systems and Software,C35610,C35610,United Systems and Software,united systems and software,,,,united systems and software;;,C35444;C35610,duplicate company or domain
"Universal ComOne, LLC",C50453,C50453,"Universal ComOne, LLC",universal comone,,,,universal comone;;,C24365;C50453,duplicate company or domain
"Universal Data, Inc.",C23326,C23326,"Universal Data, Inc.",universal data,,,,universal data;;,C22653;C23326,duplicate company or domain
"Universal Systems, Inc",C33034,C33034,"Universal Systems, Inc",universal systems,,,,universal systems;;,C33034;C50454,duplicate company or domain
Universal Technologies and Data Solutions LLC,C50455,C50455,Universal Technologies and Data Solutions LLC,universal technologies and data solutions,,,,universal technologies and data solutions;;,C43084;C50455,duplicate company or domain
University of Michigan,C23091,C23091,University of Michigan,university of michigan,,,,university of michigan;;,C22594;C23091,duplicate company or domain
"Up and Running Solutions, Inc.",C50457,C50457,"Up and Running Solutions, Inc.",up and running solutions,,,,up and running solutions;;,C23627;C50457,duplicate company or domain
UpdateIT Inc,C50459,C50459,UpdateIT Inc,updateit,,,,updateit;;,C43323;C50459,duplicate company or domain
UpLAN Inc.,C50460,C50460,UpLAN Inc.,uplan,,,,uplan;;,C36538;C50460,duplicate company or domain
Upstate Cabling,C50462,C50462,Upstate Cabling,upstate cabling,,,,upstate cabling;;,C41187;C50462,duplicate company or domain
"Upstream Tech, Inc.",C50463,C50463,"Upstream Tech, Inc.",upstream tech,,,,upstream tech;;,C42225;C50463,duplicate company or domain
UPTIME NETWORKS INC,C39213,C39213,UPTIME NETWORKS INC,uptime networks,,,,uptime networks;;,C22663;C39213,duplicate company or domain
Upward Computer & Digital llc,C50464,C50464,Upward Computer & Digital llc,upward computer and digital,,,,upward computer and digital;;,C24881;C50464,duplicate company or domain
Urban Technologies LLC,C50465,C50465,Urban Technologies LLC,urban technologies,,,,urban technologies;;,C38346;C50465,duplicate company or domain
"US Logic, LLC",C43983,C43983,"US Logic, LLC",us logic,,,,us logic;;,C29973;C43983,duplicate company or domain
"USresources, Inc.",C50468,C50468,"USresources, Inc.",usresources,,,,usresources;;,C27205;C50468,duplicate company or domain
USTech Service Corporation,C50469,C50469,USTech Service Corporation,ustech service,,,,ustech service;;,C24255;C50469,duplicate company or domain
USTechland Corp,C50470,C50470,USTechland Corp,ustechland,,,,ustechland;;,C42121;C50470,duplicate company or domain
Util-IT,C50471,C50471,Util-IT,util-it,,,,util-it;;,C39029;C50471,duplicate company or domain
V and N Direct Sales,C50472,C50472,V and N Direct Sales,v and n direct sales,,,,v and n direct sales;;,C42574;C50472,duplicate company or domain
"Valley IT Solutions, LLC",C37789,C37789,"Valley IT Solutions, LLC",valley it solutions,,,,valley it solutions;;,C24069;C37789,duplicate company or domain
"Valor Technologies, LLC",C38251,C38251,"Valor Technologies, LLC",valor technologies,,,,valor technologies;;,C23388;C38251,duplicate company or domain
Vanguard IT Solutions LLC,C50478,C50478,Vanguard IT Solutions LLC,vanguard it solutions,,,,vanguard it solutions;;,C35671;C50478,duplicate company or domain
Vanguard Technology Consulting LLC,C50479,C50479,Vanguard Technology Consulting LLC,vanguard technology consulting,,,,vanguard technology consulting;;,C23695;C50479,duplicate company or domain
Vantage Point Corp / FuzeData Inc,C50481,C50481,Vantage Point Corp / FuzeData Inc,vantage point / fuzedata,,,,vantage point / fuzedata;;,C23379;C50481,duplicate company or domain
Vantage Point Technologies,C29052,C29052,Vantage Point Technologies,vantage point technologies,,,,vantage point technologies;;,C23065;C29052,duplicate company or domain
Varitek Technology Solutions,C50483,C50483,Varitek Technology Solutions,varitek technology solutions,,,,varitek technology solutions;;,C23748;C50483,duplicate company or domain
"Varmark, Inc.",C22670,C22670,"Varmark, Inc.",varmark,,,,varmark;;,C22670;C50484,duplicate company or domain
VAST Inc,C34125,C34125,VAST Inc,vast,,,,vast;;,C34125;C50486,duplicate company or domain
vCloud Choice Inc.,C50487,C50487,vCloud Choice Inc.,vcloud choice,,,,vcloud choice;;,C42037;C50487,duplicate company or domain
"V-Consulting, Inc",C50488,C50488,"V-Consulting, Inc",v-consulting,,,,v-consulting;;,C24622;C50488,duplicate company or domain
VCRNOW,C50489,C50489,VCRNOW,vcrnow,,,,vcrnow;;,C23603;C50489,duplicate company or domain
VDC Technologies,C50490,C50490,VDC Technologies,vdc technologies,,,,vdc technologies;;,C42087;C50490,duplicate company or domain
VegaNext LLC,C41694,C41694,VegaNext LLC,veganext,,,,veganext;;,C40325;C41694,duplicate company or domain
Velocity a Managed Services Provider,C50493,C50493,Velocity a Managed Services Provider,velocity a managed services provider,,,,velocity a managed services provider;;,C24035;C50493,duplicate company or domain
VELOCITY IT LLC,C52046,C52046,VELOCITY IT LLC,velocity it,,,,velocity it;;,C36647;C52046,duplicate company or domain
