record_id_1,record_id_2
C28064,C37616
C50336,C22562
C34739,C51776
C46431,C39206
C40277,C22570
C40286,C32197
C46757,C40982
C44424,C29694
C23491,C32833
C29038,C32524
C22615,C28396
C45282,C50380
C23899,C51284
C43647,C39212
C24853,C32003
C50412,C26786
C42312,C40844
C51951,C41046
D01305,C27345
C31831,C42018
C37450,C23835
C28814,C25992
C23121,C22638
C37990,C22643
C34138,C28134
C22641,C27999
C52088,C32012
C32855,C32001
C30287,C40917
C45708,C40111
C23089,C22594
C22819,C22764
C50458,C24865
C30306,C33119
C35247,C26363
C42697,C22595
C29931,C36435
C42574,C29931
C29128,C50338
D01350,C26352
C46221,C46269
C45683,C27701
C44132,C23068
C22694,C40278
C34324,C22694
C43265,C31271
C30745,C24404
C32961,C26435
C36693,C42881
C37622,C38240
C36789,C47568
C44870,C23052
C35446,C26553
C28437,C25669
C23565,C26235
C40341,C27115
C24962,C41626
C35124,C45689
C45690,C23073
C32716,C50340
C43667,C51365
C22732,C29494
C25224,C22337
C38257,C51662
C29423,C22739
C32821,D01404
C23378,C34104
C24687,C38258
C42304,C40845
C34229,C27537
C38516,C47600
C25543,D00001
C36221,C32553
C28612,C40393
C44972,C32248
C36956,C42363
C51007,C32320
C29908,C47627
C22836,C21533
C29447,C43190
C47638,D00015
C35863,D00016
C36942,C39516
C47641,C42731
C33147,C41893
C34003,C51418
C46051,C34624
C42137,C39068
C34233,C47679
C42384,C24845
C33135,C41698
C40708,C26447
C28895,C32643
C21564,C47699
C41733,C44055
C42931,C28787
C47728,C45249
C51445,C24209
C34366,C46230
D00068,C41391
C38044,C27969
C36811,C36835
C47768,C40423
C44898,C22781
C26245,C38945
C40971,C25020
C30207,C35195
C47591,C27407
C39557,C46228
C30147,C26282
C41577,D00096
C27357,C46697
C22030,C37781
C31220,C34753
C22857,C39576
C21619,C46526
C21623,C30360
C47851,C21624
C28828,C45263
C29265,C41751
C25452,C50881
C28237,C26781
C39078,C39584
C23100,C51792
C32738,C45382
C45417,C41026
C43412,C41921
C43817,C51818
C23778,C36413
C38055,C44082
C47923,C26683
C41602,C39599
C38059,C38885
C43799,C52051
C28983,C25451
C23868,C23718
C39082,C23588
C51078,C30696
C51500,D00182
C23400,D00125
C37140,C46527
C38720,C23487
C22872,C25769
C38066,C41482
C25823,C29899
C38359,C39630
C51123,D00191
C37643,C31201
C32451,C43117
C35156,C36559
C30577,C48040
C24446,C48042
C46267,C27403
C23414,C39640
C25736,C22784
C31600,C28028
C51542,C35295
C46106,C28157
C42306,C32123
C32097,C38724
C21734,C22785
C22786,C21734
C39092,D00240
C26680,C31709
C51627,C27264
C51486,C51037
C47293,C38021
C28294,D00270
C24082,C21615
C23364,C43825
C21749,C28181
C34176,C39672
C44509,C23403
C26271,C45503
C45504,C46458
C32529,C42313
C28193,C51169
C27891,C30873
C31376,C27891
C22886,C45168
C31398,C31325
C30003,C33072
C37979,C29149
C33004,C22888
C34838,C24402
C24773,C32281
C30579,C31466
C32373,C32580
C48209,C27324
C30585,C32562
C30572,C24226
C21769,D00296
C32857,D00295
C45362,C42549
C34304,C21782
C44470,C21783
C25754,C30047
C28972,C32663
C21793,C24645
C47049,C51336
C25011,C45066
C21799,C21798
C26078,C38433
C36894,C28997
C27634,C31956
C29160,C51854
C28887,C30246
C51865,C25156
C38086,C42446
C45773,C30736
C36019,C39705
C32479,C25377
C32271,C44068
C41010,C46950
C39387,C41260
C24844,C29416
C38087,C29925
C45376,C43344
C33684,C23369
D00344,C44911
C27626,C44821
C48319,D00327
C46821,C46535
C32671,C32161
D00361,C26177
C21823,C42539
C30194,C39723
C27174,C39719
C35353,C28037
C23427,C38093
C34330,C51115
C24238,C51790
C32941,C33179
C31380,C40576
C30282,C34523
D00377,C30570
C35013,C26410
C28251,C48409
C36317,C46930
C45094,C44520
C43298,C38641
C29274,C21871
C28306,C29714
C27423,C38439
C35681,C39298
C25949,C25129
C23663,C44912
C31572,C27983
C39752,C45532
C32731,C25336
C30554,C44636
C23103,C48530
C27355,C42054
C31723,C51958
D00458,C44676
C41282,C29007
C48566,C51480
C38116,C46995
C42430,C23243
C22793,C46214
C22794,C42430
C42775,C22792
C21912-400,C21912-358
C21912-333,C21912-352
C21912-340,C21912-332
C21912-033,C21912-321
C21912-461,C21912-377
C21912-410,C21912-379
C21912-462,C21912-437
C21912-325,C21912-327
C21912-053,C21912-355
C21912-395,C21912-409
C21912-447,C21912-440
C21912-433,C21912-446
C21912-445,C21912-429
C21912-230,C21912-103
C21912-477,C21912-273
C21912-231,C21912-436
C21912-283,C21912-435
C21912-286,C21912-357
C21912-361,C21912-388
C21912-323,C21912-361
C21912-414,C21912-441
C21912-227,C21912-228
C21912-215,C21912-224
C21912-217,C21912-216
C21912-238,C21912-287
C21912-470,C21912-419
C21912-468,C21912-466
C21912-235,C21912-238
C21912-097,C21912-158
C21912-111,C21912-100
C21912-120,C21912-114
C21912-140,C21912-145
C21912-209,C21912-206
C21912-211,C21912-116
C21912-010,C21912-011
C21912-244,C21912-254
C46974,C21912-544
C31212,C30458
C23082,C51791
C35728,C39462
C25375,C48462
C25467,C24483
C23255,C26902
C24472,C38738
C38545,C28087
C43222,C30927
C51789,C48625
C44529,C51138
C24498,C44529
C21933,C21932
C22915,C23105
C51499,C33142
C45549,C21948
C51229,C46045
C48657,C39125
C38913,C25189
C28910,C35580
C45801,D00530
C23721,C38633
C46141,C36565
C45910,C26183
D00540,C48687
C31390,C37965
C34337,C38459
C44355,C34904
C31751,C39806
C46241,C33649
C51929,C48662
C27291,C46549
C42996,C24758
C44358,C27291
C32976,C40732
C42094,C43789
D00579,C43230
C35923,C44716
C25414,C27268
C27333,C30724
C45558,C45557
C48823,D00591
C45560,C45048
C44869,C36430
D00595,C30010
C39838,C39837
C48841,C42723
C43602,C26189
C30278,C26559
C24368,C51628
C32305,C42654
C44420,D00606
C34782,C51777
C46213,C46553
C45182,C48881
C39135,C35485
C34516,C30584
C43698,C30541
C23406,D00619
C36819,C22028
C31160,C41424
C23944,C38632
C24362,C25167
C32261,C36557
C25604,C26014
C25888,C46226
C25784,C22935
C25834,C22936
C41825,C48913
C32500,C38142
C51769,C35964
D00640,C50734
C27103,C45921
C47001,C48939
C27746,C46850
C32018,C28373
C24688,C43232
C30676,C27479
C46429,C47111
C45574,C26333
C48982,C45358
C52057,C40650
C32867,C46854
C31115,D00661
C43720,C41805
C49004,C46611
C32470,C49005
C35500,C39459
D00667,C51745
C31183,C38150
C26587,C24954
C49030,C24706
C26370,C47268
C37997,C26370
C36696,C51512
C25623,C42333
C29077,C34565
C23687,C29541
C27600,C23338
C39911,C24509
