record_id_1,record_id_2,company_sim,company_clean_1,company_clean_2
D00523,C45428,0.888888889,frankel zacharia technology services,frankel zacharia
D01305,C42637,0.888888889,tech,tech 2 it
D01306,C23045,0.888888889,technologies,technologies of north texas
C39600,D00146,0.888548951,beyond secure,beyond computers
C36856,D00813,0.888522589,midwest networking services,midwest network consulting
C49344,D00813,0.888522589,midwest networking services,midwest network consulting
D00507,C28646,0.8875,flex it services,flex it
C36626,D01237,0.887412587,tech solution,tech service solutions
C50222,D01237,0.887412587,tech solution,tech service solutions
D00036,C21561,0.885748918,advanced computer systems,advanced computer solutions group
D00072,C30439,0.885714286,american cyber,american computer net
D00092,C21797,0.885714286,applied technology and cable,applied tech
D00092,C34873,0.885714286,applied technology and cable,applied tech
D00092,C46714,0.885714286,applied technology and cable,applied tech
D00461,C31065,0.885714286,equifax,equidex
D00898,C39430,0.885714286,nimbous,nimboip
D01172,C50098,0.885714286,splice it,splice communications
D01186,C25684,0.885704116,strategic business technologies,strategic allied technologies
C27308,D00386,0.885627706,digital scepter,digital realty
C24384,D00155,0.885335498,bluegrass technologies,bluegrass innovations
C47958,D00155,0.885335498,bluegrass technologies,bluegrass innovations
D00318,C46643,0.885319917,crosstalk solutions,crossroad data solutions
C41502,D00456,0.885020243,envision consulting,envision cctv
D00818,C26024,0.885017921,millennium computers,millennium communications group
C36621,D00294,0.884848485,computer world sales and services,computer world
C48212,D00294,0.884848485,computer world sales and services,computer world
D00346,C34749,0.884845938,cyberwolf industries,cybervirtue solutions
C27841,D01129,0.884671946,silicon networks,silicon forensics
D00666,C39459,0.884615385,it services,it services and consulting
D01085,C27306,0.884615385,sage secureit,sage it services
D00144,C25061,0.884561404,bernal it solutions,bernal consultants
D00144,C47924,0.884561404,bernal it solutions,bernal consultants
C51808,D00421,0.884509804,easy it support,easy it solutions
C35175,D00910,0.884313725,novatech services,novatech msp
D00259,C44943,0.884313725,cloudtechone,cloudtech systems
D01129,C35238,0.884313725,silicon forensics,silicon east
D01188,C42989,0.884313725,stratify security,stratify msp
D00481,C45722,0.884210526,experian it service,experian
C26579,D01261,0.884166667,telefonica tech,telefonica miami
C50283,D01261,0.884166667,telefonica tech,telefonica miami
D01360,C22779,0.883931624,viridian tek,virginia tech
C28580,D00644,0.883921053,integration systems,integration professionals
D00080,C41640,0.883918129,anchor network solutions,anchor it solutions
D00754,C29533,0.883887468,local network solutions,local network engineers
C29367,D00812,0.883846154,mid valley it,mid hudson valley it
D00520,C39268,0.883799172,forward thinking technology solutions mcit,forward thinking systems
D00198,C37119,0.883768116,california tritechncial,california telecom
D00777,C41428,0.883636364,marketspark,marketsmart rga
D00853,C34929,0.883502875,national pentesters,national networks
C22662,D01329,0.883333333,uptime it,uptic io
C25687,D00080,0.883333333,anchor solutions,anchor network solutions
C26138,D00088,0.883333333,aomega,aom
D00217,C22784,0.883333333,ccsi,ccsf
D00899,C46155,0.883333333,nistechs,nisc
D00961,C29130,0.883333333,peloda systems,pelasys
D01122,C35435,0.883333333,sharenet,shared it
D01306,C43906,0.883333333,technologies,technologic consulting
D01324,C50452,0.883333333,unity it,unity eld
D00941,C41828,0.883137255,outsource solutions group,outsource orlando
C22041,D00634,0.883076923,inova tech,inova systems
D00644,C29106,0.882947368,integration professionals,integration international
D00548,C48705,0.882828283,globalinkit,globalgig
D00833,C51080,0.882828283,modernops,modernguest
D00413,C38003,0.882769726,dtl communications,dtel telecommunications
D01050,C51970,0.8825,reflex it management,reflex integrated us
D00413,C32206,0.882440087,dtl communications,dtech communications
C31887,D00544,0.882060606,global network security solutions,global network architects
C50260,D01252,0.881818182,techsavvy it solutions,techsavvi
D00348,C36092,0.881818182,cygnus labs,cyglass
C42766,D00935,0.881666667,onset solutions,onset it
D00061,C47312,0.881533181,alcantara it consulting,alcala it consulting
C39684,D00293,0.88125,computer pros,computer professionals unlimited
C50723,D00293,0.88125,computer pros,computer professionals unlimited
D00178,C32239,0.88122807,broadband technology,broadband solutions
D00064,C47168,0.881077694,alliance optix,alliance networking
D00516,C28829,0.880911681,fortified one,fortified network solutions
C29157,D01080,0.880519481,systemgo it,systems
D01145,C50045,0.880519481,smartkid808,smartit
D00881,C26132,0.880454545,networking specialists,networking solutions
C51704,D00112,0.880042017,audio video illusions,audio video design group
D00355,C45697,0.88,cytechnica,cytech usa
D00378,C26611,0.88,designdata,design red
D00544,C25037,0.88,global network architects,global net
D01205,C30951,0.88,synapseone,synapse technologies
D00046,C46523,0.879904762,affiliated resource group,affiliated computer services
C45308,D00196,0.87987568,california media solutions,california low voltage
D01055,C38406,0.879761905,renaissance institute,renaissance computing
C45730,D01377,0.879693487,waypoint solutions,waypoint government solutions
C37119,D00197,0.879563492,california telecom,california technical experts
C34365,D00641,0.879458042,integrated communication designs,integrated cloud solutions
C22033,D00623,0.879406208,infotech associates,infotec i itsco
D01158,C41371,0.879365079,solutionsinfra,solutions4networks
C40281,D01280,0.879271709,thinkit solutions,thinking tools
C34896,D00395,0.879230769,disruptivetek,disruptive solutions
D00746,C44853,0.879166667,lightspeed technology consulting,lightspeed hosting
C35988,D01225,0.878787879,team trinet,team traders
C36026,D00882,0.878787879,networxgrid,networxarmor
C50214,D01225,0.878787879,team trinet,team traders
D00994,C33550,0.878787879,prioritytek,priority1pos
C26745,D00747,0.878754579,limetechsolutions.com,lime solutions
D00443,C23645,0.878435673,empigo technologies,emphasys technologies
D00443,C48523,0.878435673,empigo technologies,emphasys technologies
C28251,D00384,0.878365013,digital intelligence systems dexian disys,digital intelligence networks
C21648,D00132,0.87826087,bastionpoint technology,bastionne
C51697,D01307,0.877891446,trustpoint it solutions,trustnet solutions
C36370,D00535,0.877777778,geek easy,geek 3
C44895,D00663,0.877777778,it goat,it global solution
D00194,C38834,0.877777778,cadenza consulting,cadenza
D01107,C22444,0.877777778,securenet kinetics,securenation
D01253,C50743,0.877777778,techunifi,techue
D00885,C46235,0.877692308,new horizon stem solutions,new horizon communications
D00647,C48946,0.87762572,interactive media operation,interactive management services
C41205,D00215,0.877470356,catalyst it,catalyst data solutions
C27113,D00908,0.877460317,northwest computer solutions,northwest communications cooperative
D00101,C29522,0.877419355,armstrong it,armstrong communication systems
D00632,C24767,0.877419355,innovateitio,innovatech it service solutions
D00292,C51394,0.877239819,computer enterprises,computer engineering group
D00666,C34027,0.877056277,it services,it service architechs
D00811,C38557,0.877056277,microtrol enterprises,microtrends
